fips,county_name,population
05107,"Phillips County, Arkansas",16373
05109,"Pike County, Arkansas",10205
05111,"Poinsett County, Arkansas",22997
05113,"Polk County, Arkansas",19384
05115,"Pope County, Arkansas",63475
05117,"Prairie County, Arkansas",8217
05119,"Pulaski County, Arkansas",398322
05121,"Randolph County, Arkansas",18619
05123,"St. Francis County, Arkansas",23138
05125,"Saline County, Arkansas",123988
05127,"Scott County, Arkansas",9871
05129,"Searcy County, Arkansas",7880
05131,"Sebastian County, Arkansas",128184
05133,"Sevier County, Arkansas",15913
05135,"Sharp County, Arkansas",17422
05137,"Stone County, Arkansas",12393
05139,"Union County, Arkansas",38815
05141,"Van Buren County, Arkansas",15900
05143,"Washington County, Arkansas",247331
05145,"White County, Arkansas",77118
05147,"Woodruff County, Arkansas",6259
05149,"Yell County, Arkansas",20342
06001,"Alameda County, California",1663823
06003,"Alpine County, California",1515
06005,"Amador County, California",40577
06007,"Butte County, California",213605
06009,"Calaveras County, California",45674
06011,"Colusa County, California",21811
06013,"Contra Costa County, California",1162648
06015,"Del Norte County, California",27462
06017,"El Dorado County, California",191713
06019,"Fresno County, California",1008280
06021,"Glenn County, California",28657
06023,"Humboldt County, California",136132
06025,"Imperial County, California",179578
06027,"Inyo County, California",18829
06029,"Kern County, California",906883
06031,"Kings County, California",152515
06033,"Lake County, California",68024
06035,"Lassen County, California",31873
06037,"Los Angeles County, California",9936690
06039,"Madera County, California",157243
06041,"Marin County, California",260485
06043,"Mariposa County, California",17130
06045,"Mendocino County, California",91145
06047,"Merced County, California",282290
06049,"Modoc County, California",8651
06051,"Mono County, California",13219
06053,"Monterey County, California",437609
06055,"Napa County, California",137384
06057,"Nevada County, California",102322
06059,"Orange County, California",3175227
06061,"Placer County, California",406608
06063,"Plumas County, California",19650
06065,"Riverside County, California",2429487
06067,"Sacramento County, California",1579211
06069,"San Benito County, California",64753
06071,"San Bernardino County, California",2180563
06073,"San Diego County, California",3289701
06075,"San Francisco County, California",851036
06077,"San Joaquin County, California",779445
06079,"San Luis Obispo County, California",281712
06081,"San Mateo County, California",754250
06083,"Santa Barbara County, California",445213
06085,"Santa Clara County, California",1916831
06087,"Santa Cruz County, California",268571
06089,"Shasta County, California",181852
06091,"Sierra County, California",2916
06093,"Siskiyou County, California",44049
06095,"Solano County, California",450995
06097,"Sonoma County, California",488436
06099,"Stanislaus County, California",552063
06101,"Sutter County, California",99101
06103,"Tehama County, California",65484
06105,"Trinity County, California",15889
06107,"Tulare County, California",473446
06109,"Tuolumne County, California",54993
06111,"Ventura County, California",842009
06113,"Yolo County, California",217141
06115,"Yuba County, California",81705
08001,"Adams County, Colorado",520149
08003,"Alamosa County, Colorado",16460
08005,"Arapahoe County, Colorado",654453
08007,"Archuleta County, Colorado",13509
08009,"Baca County, Colorado",3496
08011,"Bent County, Colorado",5561
08013,"Boulder County, Colorado",328658
08014,"Broomfield County, Colorado",73946
08015,"Chaffee County, Colorado",19564
08017,"Cheyenne County, Colorado",1726
08019,"Clear Creek County, Colorado",9403
08021,"Conejos County, Colorado",7553
08023,"Costilla County, Colorado",3534
08025,"Crowley County, Colorado",5782
08027,"Custer County, Colorado",4885
08029,"Delta County, Colorado",31173
08031,"Denver County, Colorado",710800
08033,"Dolores County, Colorado",2329
08035,"Douglas County, Colorado",360206
08037,"Eagle County, Colorado",55650
08039,"Elbert County, Colorado",26457
08041,"El Paso County, Colorado",730323
08043,"Fremont County, Colorado",49107
08045,"Garfield County, Colorado",61683
08047,"Gilpin County, Colorado",5856
