fips,county_name,agriculture_pct,air,bachelors_rate,bea_income,broadband,child_poverty_rate,diabetes,eitc,food_access,foreign_born_pct,homeownership_rate,housing_burden,housing_vacancy_rate,hypertension,language_isolation_rate,library,manufacturing_pct,median_age,median_home_value,median_income,mental_health,obesity,pop_density,population_change_pct,poverty,rural_urban,single_parent_rate,unemployment,voter_turnout
01001,Autauga,0.36040609137055835,,0.36582353128189044,0.3319325665978571,0.8343017387148557,0.1541095890410959,0.37837837837837834,0.4100194692592031,0.3391,0.04886607619392561,0.777977190858642,0.4208531967244628,0.08660593645654871,0.5811764705882353,0.0001483658230044096,0.014007667056693872,0.022813688212927757,0.37259100642398285,0.10800970873786407,0.29701441936624035,0.38732394366197187,0.6381215469613258,0.0013603034977064349,0.4992517643057563,0.22137404580152675,0.125,0.37090351902812163,0.08653249093553922,0.19963595532920417
01003,Baldwin,0.434010152284264,0.0036278069040241345,0.43807160128343364,0.37586011992529245,0.8320927869763647,0.14840182648401826,0.38288288288288286,0.30336595874222727,0.2512,0.06425004906091758,0.8029063941161808,0.6856151089877577,0.3273000212510515,0.6235294117647058,0.0074479767328325805,0.031008836458717853,0.028517110266159693,0.47323340471092085,0.16097944031981726,0.3082382982406786,0.2535211267605634,0.5110497237569062,0.0020205745398032453,0.5071321629049864,0.23664122137404583,0.25,0.3831415225317236,0.10763129775274295,0.19842329146111853
01005,Barbour,0.5126903553299492,,0.14431869790021046,0.18504865821291655,0.5184099449584095,0.4200913242009132,0.6621621621621622,0.6143679659672058,0.2052,0.057712334751603325,0.6699266305361666,0.5289198693376882,0.2670904694560329,0.7741176470588237,0.02398365782306063,0.023941068592407556,0.10646387832699619,0.4068522483940043,0.044403198172472874,0.08785065604870414,0.49295774647887325,0.8314917127071823,0.0003864647665959485,0.4862823613368751,0.6005089058524173,0.625,0.4918492010530407,0.1798428600837166,0.17738819757968716
01007,Bibb,0.3883248730964467,,0.143707160718792,0.20456109308955078,0.6925239176332367,0.408675799086758,0.5090090090090089,0.4666588754131115,0.0159,0.020288279606697636,0.7808820131578408,0.6303841413928876,0.23439042938937654,0.6823529411764705,0.0018346700552008721,0.006348125537338342,0.07604562737642585,0.40042826552462524,0.056824671616219305,0.18276312277740508,0.5211267605633803,0.7513812154696132,0.0004915996980732632,0.4981160005382856,0.4300254452926209,0.0,0.45566326437118676,0.27212603524078977,0.18114874679131676
01009,Blount,0.3299492385786802,,0.20563702452562982,0.25477980929912514,0.7381832330347533,0.1940639269406393,0.40090090090090086,0.3913639568849738,0.0681,0.08903553146878665,0.8173870202618522,0.5691450010568581,0.13280053544015166,0.5623529411764706,0.01754912611634665,0.012299190921925383,0.03612167300380228,0.4111349036402569,0.08516561964591662,0.22780290407045942,0.4225352112676057,0.5359116022099447,0.001260594894509553,0.49903608753001655,0.26717557251908397,0.0,0.363526303278958,0.18658778612625937,0.1971299649525053
01011,Bullock,0.4619289340101522,,0.15028164461316013,0.1695296372751401,0.40915988221028926,0.5205479452054794,0.8873873873873874,0.684524875393585,0.6853,0.06968483900467776,0.6667641681901281,0.5152627261344493,0.28340974101528005,0.9247058823529412,0.010233027337839205,0.00553623317814081,0.06463878326996197,0.3768736616702356,0.0336950314106225,0.049237915936321076,0.6056338028169015,0.9558011049723755,0.00022778285922308832,0.49719996137877764,0.72264631043257,0.875,0.48743562103245885,0.1157644824311491,0.18804453776172586
01013,Butler,0.3883248730964467,,0.16954561034266885,0.2213702939152659,0.6744069577809926,0.3687214611872146,0.6306306306306305,0.6720807965918543,0.1197,0.0313864149024386,0.7297509111926526,0.6138688251338519,0.32819935799680494,0.7929411764705883,0.003713077862383808,0.012168081728268627,0.06273764258555133,0.4282655246252677,0.03876356367789834,0.0929071721740134,0.4788732394366198,0.654696132596685,0.000335862610342776,0.4963256521967351,0.5165394402035624,0.625,0.42291890488624395,0.2129617408990779,0.21182317096218833
01015,Calhoun,0.4619289340101522,,0.2519471765051302,0.24463039418067434,0.7475403467462796,0.26484018264840187,0.4459459459459459,0.4734968986337559,0.3591,0.04297172556317746,0.7311884519826525,0.631114336730356,0.17896710204091393,0.6470588235294117,0.010466454750877648,0.022769979136811395,0.017110266159695815,0.3768736616702356,0.0713877784123358,0.17167629640850302,0.4859154929577464,0.6049723756906078,0.0026388290582855917,0.4976039367576713,0.3918575063613232,0.25,0.4559791103789249,0.217131101786868,0.18457986492377773
01017,Chambers,0.449238578680203,,0.20109819240447196,0.22962744519807332,0.6690562561441068,0.3470319634703196,0.5855855855855854,0.5747294734681562,0.1971,0.02715450848570268,0.7441841056214578,0.4895837830836314,0.23131080027118975,0.7388235294117648,0.0056241066279139355,0.03356046703292586,0.03422053231939163,0.44111349036402575,0.054540262707024556,0.11967569049216276,0.4788732394366198,0.6850828729281767,0.0007982249067832268,0.49539859657195445,0.455470737913486,0.625,0.4276342307094942,0.11178000980956661,0.18577967830854397
01019,Cherokee,0.41624365482233505,,0.18054741399762875,0.24702644254398898,0.6639044302932308,0.204337899543379,0.49999999999999994,0.47296379379783027,0.1349,0.0363843681925775,0.8222225351334833,0.4105263157894739,0.3855325045883201,0.6729411764705882,0.017326195538475902,0.07765986370908763,0.04182509505703422,0.5396145610278372,0.08438035408338093,0.170529383335858,0.4154929577464788,0.6298342541436464,0.0006228768203968266,0.5039245524808779,0.3155216284987278,0.875,0.4275100712031788,0.12399864052062323,0.20772028128474154
01021,Chilton,0.3781725888324873,,0.17881187263887538,0.24794799960680233,0.7138282144000921,0.18721461187214614,0.41441441441441434,0.44118755875885374,0.1019,0.07537461440755773,0.7734155309587024,0.34566296383833595,0.14590844152150467,0.6070588235294118,0.01967875343913288,0.006661942228114478,0.0494296577946768,0.3918629550321199,0.0681753283837807,0.23696378207208962,0.47183098591549294,0.643646408839779,0.0008964208737834308,0.502799129159817,0.32315521628498733,0.0,0.36009842574455136,0.16568831499808875,0.1796133502425204
01023,Choctaw,0.4086294416243655,,0.21080498017946875,0.2214808807628035,0.5353084982182972,0.3515981735159817,0.6846846846846847,0.5387719474389524,0.2433,0.008178066163050349,0.8452951272084357,0.47720415688903806,0.3187012167717283,0.8329411764705884,0.0,0.008149564987013622,0.08555133079847908,0.537473233404711,0.043617932609937175,0.11170500530176798,0.443661971830986,0.7651933701657457,0.0001904227890390859,0.5003158310303988,0.44783715012722647,1.0,0.45863658494944526,0.16278699338728636,0.251717397576371
01025,Clarke,0.38578680203045684,,0.1837085143951031,0.2579376781676988,0.557258606025337,0.3504566210045662,0.608108108108108,0.6044596100930631,0.3943,0.014603423571601,0.7449757035086797,0.49463723128243037,0.3633310893539361,0.7576470588235295,0.0,0.034616899552368574,0.0779467680608365,0.45182012847965747,0.06117932609937179,0.11493655911651628,0.45774647887323944,0.7513812154696132,0.00025581322166053777,0.49874388183826396,0.5190839694656488,1.0,0.5202210854828879,0.3894401456531634,0.24300269066385996
01027,Clay,0.27411167512690354,0.0034614706079169736,0.201338334800505,0.2417305612896884,0.6162111081653332,0.2682648401826484,0.5225225225225224,0.5421885430651695,0.0702,0.011979239340522375,0.8077565706038903,0.47946570972886654,0.25838772799535625,0.7129411764705883,0.002413669848373649,0.04191697964827216,0.06653992395437262,0.47751605995717344,0.0739577384351799,0.14878852798395764,0.45774647887323944,0.712707182320442,0.00032337189280471387,0.49810339983141333,0.3536895674300255,1.0,0.3639979809698883,0.17966732172936564,0.20639474310810663
01029,Cleburne,0.38071065989847713,,0.24099360340313772,0.24918902978472426,0.6038187814615521,0.21917808219178084,0.43693693693693686,0.4540030059201441,0.0595,0.02577785540519769,0.80467443729776,0.4782712710630323,0.1733443078536338,0.6023529411764705,0.00440456691143867,0.0017475548473384894,0.053231939163498096,0.44111349036402575,0.06524842946887492,0.14625666327642048,0.4647887323943663,0.5718232044198894,0.00037169769292947003,0.5058448459086079,0.3206106870229008,0.875,0.42186775998771964,0.08129661805226507,0.20170305818494222
01031,Coffee,0.47715736040609136,,0.28617071848584946,0.2814926766932075,0.7706188847712822,0.2842465753424658,0.4459459459459459,0.41281493943597475,0.3215,0.0728878138606607,0.7162307590720196,0.5228961757884583,0.17586956656984787,0.6164705882352941,0.013598944812898766,0.007450780502433488,0.045627376425855515,0.3768736616702356,0.08687892632781267,0.2413350356697179,0.43661971830985913,0.6712707182320442,0.0010852884874680397,0.5017581595436267,0.3206106870229008,0.375,0.408449452357075,0.14946403437167252,0.17430354511615756
01033,Colbert,0.434010152284264,,0.2450498249869057,0.2753121006586061,0.6346320040905753,0.3025114155251142,0.45495495495495486,0.41647955172477,0.3289,0.031917927978076535,0.7321163348734787,0.5908238020191299,0.18020747721619051,0.6352941176470588,0.010384740346837142,0.026470505545105442,0.03802281368821293,0.43683083511777304,0.07709880068532267,0.18481169707068304,0.4084507042253522,0.574585635359116,0.0013291339409730162,0.5007513935729638,0.36132315521628505,0.25,0.405705342382351,0.10653985528287206,0.20603843188107415
01035,Conecuh,0.33756345177664976,,0.1674166085094363,0.1979258822372948,0.494934164084735,0.3904109589041096,0.7747747747747749,0.6490610122637719,0.2636,0.015343259979220791,0.7701251872594979,0.4699014617288557,0.3731206676176718,0.8800000000000001,0.004211816846537936,0.03162401797491326,0.06653992395437262,0.5267665952890793,0.041619074814391775,0.05145960918396053,0.4788732394366198,0.8204419889502762,0.00018691779436434968,0.49818918685867036,0.6870229007633588,1.0,0.5445080204078228,0.13607042143192866,0.23708661408725534
01037,Coosa,0.39340101522842635,,0.15696292359610525,0.25410400078639533,0.6736989028133529,0.2796803652968036,0.617117117117117,0.44615535281422614,0.2259,0.008418689837083515,0.837703027219328,0.5234210526315786,0.41024036676666087,0.7741176470588237,0.0,0.05185525107820981,0.08555133079847908,0.6124197002141328,0.04925756710451171,0.14796621295074044,0.380281690140845,0.6961325966850828,0.0002179508039774384,0.4944160970443824,0.3816793893129772,0.875,0.39878564682492956,0.137509664499284,0.22548667177166348
01039,Covington,0.39847715736040606,,0.2136462628648797,0.24832890985943182,0.6624901268534423,0.3070776255707763,0.5135135135135135,0.5244382338567556,0.1292,0.021339066652550885,0.7730547114301972,0.5976729196301561,0.28137855665274103,0.6847058823529412,0.0,0.01506234448477533,0.08745247148288973,0.45610278372591007,0.059822958309537405,0.12973822971442586,0.45774647887323944,0.585635359116022,0.0005009882135019036,0.4992547245142401,0.40966921119592875,0.625,0.451747158908956,0.17167828518113507,0.1959218917329715
01041,Crenshaw,0.38071065989847713,,0.2609201687307671,0.2958566794455913,0.4725840592990707,0.21232876712328766,0.527027027027027,0.5227363784402435,0.2949,0.04805744122268608,0.768994152855399,0.46309370988446646,0.3109234883397087,0.6894117647058824,0.019835213599481,0.017181516429960447,0.07984790874524715,0.443254817987152,0.04276127926898915,0.14562910706685997,0.45774647887323944,0.6574585635359116,0.00029806308066426064,0.5008337122934667,0.4681933842239186,0.875,0.4951572878079101,0.1899181589518342,0.21237265148592788
01043,Cullman,0.42385786802030456,,0.26516016652594965,0.26381106851469577,0.765388669696382,0.1860730593607306,0.38288288288288286,0.37407989039337153,0.0842,0.04289836790716305,0.7856654157885335,0.5199495961779832,0.15549871908750357,0.588235294117647,0.007377064948993365,0.006725334200750445,0.03612167300380228,0.42398286937901497,0.08959166190748144,0.23661033087360153,0.4295774647887325,0.5441988950276242,0.0016536258409431575,0.5047572439851592,0.33333333333333337,0.375,0.3651414493179346,0.13562715066753503,0.20028709128929464
01045,Dale,0.47208121827411165,,0.28290154611967744,0.24567482551852943,0.7380619378157469,0.3321917808219178,0.4909909909909909,0.5064327845814145,0.2313,0.06225124544880482,0.6201884694396804,0.5438239078487835,0.16711021672456464,0.6352941176470588,0.006824216040376018,0.013171037365684502,0.045627376425855515,0.3447537473233405,0.05946601941747573,0.15577099247653878,0.49295774647887325,0.6795580110497237,0.0012128465960737408,0.5026152536187811,0.44274809160305345,0.375,0.4356138706654175,0.24299225364799157,0.1668032724495944
01047,Dallas,0.39847715736040606,,0.2214909673015421,0.17792195026049346,0.6351121508678225,0.5079908675799086,0.7882882882882882,0.8467082868032796,0.1523,0.022447314254289124,0.6331981435684816,0.7001049303391974,0.2613820882961395,0.8917647058823531,0.002168657190806139,0.019105086757375638,0.026615969581749048,0.4025695931477516,0.0364791547687036,0.045342739463186975,0.4859154929577464,0.8176795580110496,0.0005385737012601858,0.49646404243149084,0.7582697201017812,0.375,0.5670162056967828,0.28578532536391343,0.19673801796405807
01049,DeKalb,0.41116751269035534,0.0037680789372932923,0.18052024008027118,0.20393443428683772,0.7401935116676158,0.3527397260273973,0.4864864864864864,0.4952787683403653,0.0,0.1362053060724444,0.7615292159434346,0.5308846117676561,0.18444746738419612,0.64,0.028901754725041265,0.013437563508715576,0.045627376425855515,0.3854389721627409,0.0631781838949172,0.1519479489010553,0.5211267605633803,0.6049723756906078,0.0012693693287613667,0.5010054742486874,0.3969465648854962,0.625,0.3753204932298314,0.12255123609962335,0.17146446583061173
01051,Elmore,0.36802030456852786,0.0040212093652348254,0.3450609509909949,0.31743340214292737,0.8199757272178988,0.15182648401826485,0.3648648648648648,0.3872251726419483,0.19,0.03814463600645221,0.7949018918185696,0.6110282148670636,0.1347226733980231,0.571764705882353,0.007301512532635724,0.031858767264346506,0.019011406844106463,0.3704496788008565,0.11414905768132495,0.3064998954072984,0.4225352112676057,0.6132596685082872,0.0019513296477410348,0.49678325016765745,0.21882951653944022,0.125,0.34456421033602247,0.1297579912964529,0.19752904365693386
01053,Escambia,0.5152284263959391,,0.18612083370538696,0.16514302565614863,0.5655427131896317,0.31392694063926946,0.6126126126126126,0.5765942258098253,0.1064,0.013540689575322727,0.6923476709503279,0.5354691075514875,0.25846340099571113,0.7364705882352941,0.005422200017746164,0.03719373423416584,0.06653992395437262,0.40471092077087795,0.05818103940605368,0.13575411337848853,0.5704225352112677,0.7513812154696132,0.0005347042484933198,0.4999455885953696,0.45292620865139943,0.625,0.5011683977908972,0.28745301300459986,0.1818858538539346
01055,Etowah,0.4263959390862944,0.0029273098204712525,0.23566941430761104,0.24772682591172712,0.7505424154224789,0.2671232876712329,0.5135135135135135,0.5006896220113102,0.4066,0.04396744357129478,0.7563174650332817,0.6392010305341559,0.20795685254595034,0.6823529411764705,0.005915692765101294,0.02467587118798377,0.015209125475285171,0.4346895074946467,0.07702741290691034,0.19126037812064947,0.4647887323943663,0.7486187845303867,0.0026581327159901544,0.49914923237557524,0.3715012722646311,0.25,0.4191898478623841,0.18791468693907734,0.19482198134827136
01057,Fayette,0.36040609137055835,,0.180365150825391,0.23020495429076968,0.5951493391564777,0.3972602739726027,0.527027027027027,0.4780829763844731,0.0095,0.013736706960288345,0.7819949937816593,0.5913072776280316,0.2495636334179048,0.7129411764705883,0.0,0.014284831013486004,0.03422053231939163,0.47323340471092085,0.051541976013706456,0.14594649181652275,0.47183098591549294,0.6602209944751382,0.000356926451318435,0.49852950186875805,0.4173027989821883,0.875,0.40197335406960527,0.3014395478230153,0.22881191826562491
