country_name,iso3,year,structural_strength,structural_strength_absolute,score_a,score_b,score_c,variables_used,gdp_norm,life_norm,edu_norm,gini_norm,urb_norm,pop_norm,gdp_norm_abs,life_norm_abs,edu_norm_abs,gini_norm_abs,urb_norm_abs,pop_norm_abs
Argentina,ARG,1820,,,,,,"gdp_per_capita,gini",31.130740448861843,,,51.74572228447604,,0.1257399362112641,1.7275312031618952,,,49.95225203674411,,0.03806584440628218
Argentina,ARG,1830,,,,,,,,,,,,0.07438764773533658,,,,,,0.04601278478337658
Argentina,ARG,1840,,,,,,,,,,,,0.0949898329296468,,,,,,0.056661684888683075
Argentina,ARG,1850,47.54465710869708,18.883526616487064,47.54465710869708,45.67879322054113,51.86544230738407,"gdp_per_capita,gini,urbanization",35.19955654101995,,,81.15222009389528,66.83223887585582,0.2350267561451727,2.482623475259773,,,78.22427316345272,27.979363779326917,0.08304552694063648
Argentina,ARG,1860,,,,,,"gdp_per_capita,urbanization",31.427232247480664,,,,71.66936649377773,0.28690710951040005,2.793654038952696,,,,30.534726274854652,0.09925728530990907
Argentina,ARG,1870,33.07526013711879,12.915331143367661,33.07526013711879,33.0600565316337,32.3536653584243,"education_years,gdp_per_capita,gini,urbanization",30.484160191273162,,23.672787979966607,27.902975154725866,72.03348034543927,0.4062551550787486,3.1309160959691176,,10.916089299461124,39.20551435758387,33.090088770382394,0.13835623196521352
Argentina,ARG,1880,23.233980552221432,13.334359111924666,23.233980552221432,26.351533527091753,21.29486050925034,"education_years,gdp_per_capita,life_expectancy,urbanization",28.43744766370792,1.7773131207527622,23.641975308641975,,73.34829296979055,,3.5375042424833603,20.74757121686152,12.024634334103155,,35.645451265910125,
Argentina,ARG,1890,32.61713460191832,18.82096762982038,32.61713460191832,38.39380816501777,28.074793826449017,"education_years,gdp_per_capita,gini,life_expectancy,urbanization",48.00319488817891,0.0,24.201183431952668,50.430556491429336,74.51236739140008,0.721476377381966,5.962043696812527,22.22954058949448,13.133179368745187,55.23003010724587,38.20081376143787,0.263917889923305
Argentina,ARG,1900,48.12500914820981,19.047291758512703,48.12500914820981,49.483563775222265,45.51183032068453,"education_years,gdp_per_capita,life_expectancy,urbanization",51.775851686935134,49.17456972251493,26.79886685552408,,75.55022055508017,0.9950410739330796,7.333576062012644,30.462703770788735,15.719784449576595,,40.7561762569656,0.3685790946896383
Argentina,ARG,1910,50.52446765247518,25.14311644048232,50.52446765247518,51.80183794752378,47.7028150072406,"education_years,gdp_per_capita,gini,life_expectancy,urbanization",59.00460511310198,53.94605394605395,30.46321525885558,21.990563530495947,76.56673989242123,1.4277864099746087,10.16095630666698,39.02519347933476,18.829869130100075,42.535205033821924,40.487044204247724,0.5388820269707714
Argentina,ARG,1920,56.36868833587863,26.122722932161377,56.36868833587863,54.50632597239068,56.17543265152297,"education_years,gdp_per_capita,life_expectancy,urbanization",50.011221890409864,73.38373305526589,35.072463768115945,,74.13581940578227,1.6992645576202656,9.119191286105144,46.35270871068664,23.341031562740568,,40.21791215152984,0.6998075696069329
Argentina,ARG,1930,55.728076839623846,29.7101158146555,55.728076839623846,55.88112362836173,54.25304094828164,"education_years,gdp_per_capita,life_expectancy,urbanization",56.70773690696589,62.48099726360595,38.58611825192801,,66.13133436654518,2.2309837681432647,10.931038003521145,52.77457599209615,27.882986913010004,,39.948780098811945,0.9409972100517481
Argentina,ARG,1940,55.49382592611501,32.96440637798892,55.49382592611501,53.88444036686392,55.83529986301053,"education_years,gdp_per_capita,life_expectancy,urbanization",50.76935196345678,68.22400990099011,44.52500069343749,,57.46873086487086,2.503487531832181,11.174616155810783,59.196443273505686,33.96458814472671,,39.679648046094066,1.1216311648231039
Argentina,ARG,1950,56.56982403241675,40.57409551191901,56.56982403241675,54.03472912374123,57.87982613247289,"education_years,gdp_per_capita,gini,life_expectancy,urbanization",49.51180666158853,74.47097047605592,50.201183431952664,48.351461020167164,50.13424155958509,2.8905217888000205,13.640376528219736,69.23102255886711,40.969976905311775,62.389252861874446,39.41051599337618,1.3585561591839548
Argentina,ARG,1960,57.06238884533141,43.48845340809082,57.06238884533141,54.27239766842661,59.07343580342303,"education_years,gdp_per_capita,gini,life_expectancy,urbanization",45.90588235294118,72.64881246499984,53.39366515837104,64.28719700476722,54.235467820092275,2.852890703229464,15.349170950436273,73.71480322739995,46.95919938414164,60.70316278883514,40.6646839077094,1.6339711261590135
Argentina,ARG,1970,58.18230101699021,48.581596704190616,58.18230101699021,55.41346554160691,60.319803560071804,"education_years,gdp_per_capita,gini,life_expectancy,urbanization",45.42836891999645,73.36411798396334,53.65853658536586,80.82298268281338,48.740580678284104,2.6971218055431354,20.554248697056387,76.96196278610242,51.88606620477291,74.8241671505394,41.918851822042626,1.8998999098753386
Argentina,ARG,1980,53.96879079563969,50.987376693100266,53.96879079563969,50.56590256833514,56.48091531984821,"education_years,gdp_per_capita,gini,life_expectancy,urbanization",41.204296485986625,73.19216039648569,51.345755693581786,61.359949690903,43.309558597283164,2.6701563360992697,23.254218831282298,81.7882430429771,58.275596612779054,61.54620782535479,43.17301973637584,2.2501601944241214
Argentina,ARG,1990,43.25809449672617,49.946660892014926,43.25809449672617,38.47617958662963,47.379798616248834,"education_years,gdp_per_capita,gini,life_expectancy,urbanization",23.40449921192148,65.37408759124087,45.88477366255144,54.82998979798129,38.74658652112754,2.708957765946287,17.959204536124474,85.04692903013338,59.353348729792145,58.3426366865801,44.427187650709065,2.620980405769504
Argentina,ARG,2000,44.34998381352966,54.042109178269065,44.34998381352966,38.359096052720965,49.02440795519697,"education_years,gdp_per_capita,gini,life_expectancy,urbanization",22.648791099688985,75.73687361340987,45.09345794392522,44.21950753297305,33.33785483769821,2.7606003699185546,25.6692826033889,88.65470113617651,63.81832178598922,50.88168811338114,45.68135556504229,2.962710762395129
Australia,AUS,1820,,,,,,gdp_per_capita,0.4106334187623122,,,,,0.0732389190040557,0.29416746084210144,,,,,0.02217196365209338
Australia,AUS,1830,,,,,,gdp_per_capita,23.707046164526204,,,,,0.0,1.2797221385678679,,,,,0.021854086037009602
Australia,AUS,1840,,,,,,gdp_per_capita,42.67795547193477,,,,,0.01044645221476934,2.849864381788766,,,,,0.029006332376394564
