country_name,iso3,year,scheme,peer_rank,peer_name,peer_iso3,distance,similarity_pct,shared_vars
Argentina,ARG,1990,B,5,Chile,CHL,12.614,87.4,5
Argentina,ARG,2000,B,1,Uruguay,URY,3.262,96.7,4
Argentina,ARG,2000,B,2,Mexico,MEX,7.168,92.8,5
Argentina,ARG,2000,B,3,Poland,POL,12.025,88.0,5
Argentina,ARG,2000,B,4,Chile,CHL,12.845,87.2,5
Argentina,ARG,2000,B,5,Peru,PER,13.269,86.7,5
Australia,AUS,1850,B,1,United States,USA,14.436,85.6,3
Australia,AUS,1850,B,2,Denmark,DNK,15.148,84.9,3
Australia,AUS,1850,B,3,Hungary,HUN,17.196,82.8,2
Australia,AUS,1850,B,4,Uruguay,URY,17.648,82.4,2
Australia,AUS,1850,B,5,Italy,ITA,18.24,81.8,3
Australia,AUS,1860,B,1,United States,USA,12.027,88.0,2
Australia,AUS,1860,B,2,United Kingdom,GBR,20.397,79.6,3
Australia,AUS,1860,B,3,Belgium,BEL,30.371,69.6,3
Australia,AUS,1860,B,4,Netherlands,NLD,30.767,69.2,3
Australia,AUS,1860,B,5,China,CHN,31.822,68.2,2
Australia,AUS,1870,B,1,United Kingdom,GBR,12.911,87.1,4
Australia,AUS,1870,B,2,Belgium,BEL,18.12,81.9,4
Australia,AUS,1870,B,3,United States,USA,21.777,78.2,4
Australia,AUS,1870,B,4,Netherlands,NLD,24.791,75.2,4
Australia,AUS,1870,B,5,Uruguay,URY,27.84,72.2,3
Australia,AUS,1880,B,1,United Kingdom,GBR,13.382,86.6,3
Australia,AUS,1880,B,2,Hungary,HUN,18.628,81.4,2
Australia,AUS,1880,B,3,United States,USA,18.983,81.0,3
Australia,AUS,1880,B,4,Ireland,IRL,23.859,76.1,2
Australia,AUS,1880,B,5,Belgium,BEL,27.718,72.3,3
Australia,AUS,1890,B,1,United Kingdom,GBR,6.679,93.3,4
Australia,AUS,1890,B,2,United States,USA,16.639,83.4,4
Australia,AUS,1890,B,3,Belgium,BEL,24.171,75.8,4
Australia,AUS,1890,B,4,Ireland,IRL,25.745,74.3,3
Australia,AUS,1890,B,5,Netherlands,NLD,26.553,73.4,4
Australia,AUS,1900,B,1,Belgium,BEL,12.093,87.9,3
Australia,AUS,1900,B,2,Netherlands,NLD,14.659,85.3,3
Australia,AUS,1900,B,3,United Kingdom,GBR,15.476,84.5,3
Australia,AUS,1900,B,4,Switzerland,CHE,15.503,84.5,3
Australia,AUS,1900,B,5,Denmark,DNK,20.426,79.6,3
Australia,AUS,1910,B,1,United Kingdom,GBR,9.124,90.9,4
Australia,AUS,1910,B,2,Switzerland,CHE,15.424,84.6,4
Australia,AUS,1910,B,3,United States,USA,21.639,78.4,4
Australia,AUS,1910,B,4,Canada,CAN,22.856,77.1,4
Australia,AUS,1910,B,5,Netherlands,NLD,23.277,76.7,4
Australia,AUS,1920,B,1,United Kingdom,GBR,9.912,90.1,3
Australia,AUS,1920,B,2,Netherlands,NLD,12.272,87.7,3
Australia,AUS,1920,B,3,Switzerland,CHE,16.616,83.4,3
Australia,AUS,1920,B,4,Denmark,DNK,17.627,82.4,3
Australia,AUS,1920,B,5,Canada,CAN,20.914,79.1,3
Australia,AUS,1930,B,1,United Kingdom,GBR,13.638,86.4,4
Australia,AUS,1930,B,2,Germany,DEU,14.635,85.4,3
Australia,AUS,1930,B,3,Netherlands,NLD,15.114,84.9,4
Australia,AUS,1930,B,4,Canada,CAN,15.532,84.5,4
Australia,AUS,1930,B,5,France,FRA,15.988,84.0,4
Australia,AUS,1940,B,1,Germany,DEU,13.288,86.7,3
Australia,AUS,1940,B,2,United Kingdom,GBR,13.57,86.4,4
Australia,AUS,1940,B,3,Switzerland,CHE,14.374,85.6,4
Australia,AUS,1940,B,4,Canada,CAN,14.854,85.1,4
Australia,AUS,1940,B,5,Denmark,DNK,18.448,81.6,4
Australia,AUS,1950,B,1,Canada,CAN,10.091,89.9,5
Australia,AUS,1950,B,2,United Kingdom,GBR,10.842,89.2,5
Australia,AUS,1950,B,3,Switzerland,CHE,12.982,87.0,5
Australia,AUS,1950,B,4,Denmark,DNK,13.803,86.2,5
Australia,AUS,1950,B,5,Netherlands,NLD,16.541,83.5,5
Australia,AUS,1960,B,1,United Kingdom,GBR,7.511,92.5,5
Australia,AUS,1960,B,2,Germany,DEU,13.112,86.9,4
Australia,AUS,1960,B,3,Canada,CAN,13.779,86.2,5
Australia,AUS,1960,B,4,Netherlands,NLD,14.851,85.1,5
Australia,AUS,1960,B,5,Denmark,DNK,14.957,85.0,5
Australia,AUS,1970,B,1,United Kingdom,GBR,9.354,90.6,5
Australia,AUS,1970,B,2,Netherlands,NLD,13.136,86.9,5
Australia,AUS,1970,B,3,Germany,DEU,13.408,86.6,4
Australia,AUS,1970,B,4,Japan,JPN,13.591,86.4,5
Australia,AUS,1970,B,5,Canada,CAN,15.616,84.4,5
Australia,AUS,1980,B,1,Japan,JPN,8.159,91.8,5
